"Country",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases

"
North America
","39,072,935","+4,567","876,200",+357,"31,184,620","+2,264","7,012,115"

"
Asia
","45,716,026","+18,614","592,281",+296,"39,819,417","+21,864","5,304,328"

"
South America
","26,416,486",,"718,992",,"23,963,543",,"1,733,951"

"
Europe
","45,892,771","+28,861","1,045,378","+1,135","41,467,758","+61,125","3,379,635"

"
Africa
","4,708,640",+2,"125,938",,"4,243,248",,"339,454"

"
Oceania
","65,407",+3,"1,222",,"61,315",,"2,870"

"

",721,,15,,706,,0

World,"161,872,986","+52,047","3,360,026","+1,788","140,740,607","+85,241","17,772,353"

USA,"33,626,097",,"598,540 ",,"26,667,199",,"6,360,358"

India,"24,046,809",+689,"262,350 ",,"20,079,599","+6,232","3,704,860"

Brazil,"15,436,827",,"430,596 ",,"13,979,329",,"1,026,902"

France,"5,841,129",,"107,250 ",,"4,999,079",,"734,800"

Turkey,"5,083,996",,"44,059 ",,"4,856,763",,"183,174"

Russia,"4,922,901","+9,462","115,116 ",+393,"4,537,634","+9,756","270,151"

UK,"4,444,631",,"127,651 ",,"4,258,298",,"58,682"

Italy,"4,139,160",,"123,745 ",,"3,669,407",,"346,008"

Spain,"3,598,452",,"79,281 ",,"3,297,340",,"221,831"

Germany,"3,575,644",,"86,276 ",,"3,259,000","+18,700","230,368"

Argentina,"3,242,103",,"69,254 ",,"2,891,435",,"281,414"

Colombia,"3,067,879",,"79,760 ",,"2,874,656",,"113,463"

Poland,"2,849,014","+3,288","71,311 ",+289,"2,589,277","+4,526","188,426"

Iran,"2,722,007",,"76,231 ",,"2,179,890",,"465,886"

Mexico,"2,375,115","+3,632","219,901 ",+311,"1,895,483","+2,247","259,731"

Ukraine,"2,143,448","+7,562","47,620 ",+287,"1,832,601","+15,958","263,227"

Peru,"1,873,316",,"65,316 ",,"1,720,665",,"87,335"

Indonesia,"1,731,652",,"47,716 ",,"1,589,079",,"94,857"

Czechia,"1,651,178","+1,218","29,857 ",+11,"1,588,346",+99,"32,975"

